card_id,transaction_date,merchant_name,category,amount,location_type
11,2026-03-22,United Airlines,travel,364.69,airport
11,2025-11-10,Uber,transport,39.01,
11,2025-10-20,Chipotle,dining,51.45,
11,2025-10-12,Chipotle,dining,59.16,
11,2025-10-27,Best Buy,electronics,1895.14,
11,2025-09-04,Best Buy,electronics,1033.55,
11,2026-06-01,Pizza Place,dining,47.35,
11,2025-08-23,Lyft,transport,31.31,
11,2025-11-29,Best Buy,electronics,455.12,
11,2025-10-11,City Metro,transport,35.52,
11,2026-02-06,United Airlines,travel,369.71,airport
11,2025-11-18,Hilton Hotel,travel,266.26,
11,2026-02-15,Chipotle,dining,51.32,
11,2026-01-30,Local Diner,dining,14.63,
11,2025-08-22,Chipotle,dining,34.36,
11,2026-07-09,Local Diner,dining,11.42,
11,2025-09-24,Delta Airlines,travel,366.3,airport
11,2025-12-16,Lyft,transport,34.48,
11,2026-03-28,Amazon Electronics,electronics,1185.7,
11,2025-09-22,City Metro,transport,36.71,
11,2026-06-22,Chipotle,dining,30.72,
11,2026-05-20,City Metro,transport,36.39,
11,2026-04-21,Amazon Electronics,electronics,1076.07,
11,2025-12-25,Amazon Electronics,electronics,1159.83,
11,2025-09-15,Uber,transport,37.25,
11,2026-02-15,Delta Airlines,travel,504.8,airport
11,2026-01-27,City Metro,transport,18.36,
11,2026-01-13,Amazon Electronics,electronics,754.74,
11,2026-04-26,Delta Airlines,travel,372.31,airport
11,2025-09-28,Chipotle,dining,41.96,
11,2025-07-31,Hilton Hotel,travel,437.2,
11,2026-04-17,Olive Garden,dining,40.96,
11,2026-04-09,United Airlines,travel,298.96,airport
11,2025-11-27,Apple Store,electronics,1109.73,
11,2026-06-18,Best Buy,electronics,661.4,
11,2026-07-16,Starbucks,dining,53.66,
11,2026-04-27,Olive Garden,dining,55.08,
11,2025-07-29,Apple Store,electronics,544.96,
11,2026-01-31,Best Buy,electronics,1265.37,
11,2025-10-14,Chipotle,dining,31.03,
12,2026-04-19,Delta Airlines,travel,530.1,airport
12,2026-02-17,Uber,transport,15.16,
12,2026-07-23,Apple Store,electronics,946.92,
12,2026-07-18,Best Buy,electronics,876.64,
12,2025-07-30,United Airlines,travel,544.03,airport
